Team,No of games combined,Gold,Silver,Bronze,Total count of medals
 Uganda,16,4,4,3,11
 Ukraine,15,38,38,72,148
 United Arab Emirates,10,1,0,1,2
 United States ,52,1174,952,833,2959
 Uruguay,23,2,2,6,10
 Uzbekistan,15,11,6,20,37
 Venezuela,23,3,7,9,19
 Vietnam,16,1,3,1,5
 Virgin Islands,21,0,1,0,1
 Yugoslavia,30,26,32,29,87
 Zambia,14,0,1,1,2
 Zimbabwe,15,3,4,1,8
 Independent Olympic Athletes,3,1,0,1,2
 Independent Olympic Participants ,1,0,1,2,3
 Mixed team ,3,11,6,8,25
Totals,53,6631,6598,7052,20281
